RefID,Authors,Year,Title,Reference_Full,Measurement device(s),Notes on the inclusion of scales in the database,Players exhibit octave?,Notes on octave equivalence,Tuning octaves?,Note name octaves?,Parallel octaves?,Secondary source?,Quantitative Support Presence?,Quantitative Support Absence?,Total measured scales,Frac Present,Frac Absent,Other Notes
11,Knight,1976,Kora music from the gambia,"R. Knight. Kora music from the gambia, played by foday musa suso, 1976","5 cents resolution given, but no measurement device specified",,No,No mention of the octave,,,,,0,0,4,0,0,
12,"Surjodiningrat, Susanto, Sudarjana",1972,Tone Measurements of Outstanding Javanese Gamelans in Jogjakarta and Surakarta,"W. Surjodiningrat, A. Susanto, and P. J. Sudarjana. Tone Measurements of Outstanding Javanese Gamelans in Jogjakarta and Surakarta. Gadjah Mada University Press, 1972",Electronic / numerical analysis; 'frequency differences of about 0.1 percent were easily detected',"Out of all the information in this source, here we show the data from Tables 8 and 9. These correspond to 'classification of 28 (30) outstanding slendro (pelog) gamelans in Yogyakarta and Surakarta in accordance with their laras based on the pitches of saron demung or gender barung'. Raw data is listed in Hz; this has to be converted to cents.",No,"Authors mention that they expected notes to be separated by octaves, and note that this is often the case. However, what is described as 'octave deviations' are found to be as great as 63 cents.",,,,Yes,0,0,51,0,0,
13,"Morton, Duriyanga",1976,The Traditional Music of Thailand,"D. Morton and C. Duriyanga. The Traditional Music of Thailand, volume 8. Univ of California Press, 1976",Monochord and Stroboconn,,Yes,Mentions methods of playing simultaneous octaves: 'kro' and 'kep'.,,,Yes,Yes,3,0,4,0.75,0,
14,Haeberli,1979,Twelve nasca panpipes: A study,"Joerg Haeberli. Twelve nasca panpipes: A study. Ethnomusicology, 23(1):57-74, 1979. doi: 10.2307/851338",Stroboconn,The interval between the first note and its overblown harmonic is not included for consistency (since only the overblown harmonic for one note is reported),No,It is not know whether overblown harmonics were used by the original players.,,,,,0,0,9,0,0,
15,Kubik,1980,Likembe tuning of Kufuna Kandonga (Angola),"Gerhard Kubik. Likembe tunings of kufuna kandonga (angola). Afr. Music, 6(1):70-88, 1980",Stroboconn,,Yes,Mentions singing in parallel octaves. Likembe is tuned consistently to within 9 Hz of an octave.,No,,Yes,,0,0,5,,,"5 Tunings taken from the same instrument, tuned by the same player on different days. 'Kufuna has never shown any sign that he conceived of more than precisely one tuning pattern for his likembe. He always tuned his instrument to the same hexa- tonic scale, though with certain objectively measurable fluctuations in the intervals. These fluctuations, however, occurred within a clearly delimited margin of tolerance that was intra-culturally acceptable to him.' It's also curious to hear that the author does not seem to mind the differences in tuning, despite being able to perceive them."
16,Van Zanten,1980,The equidistant heptatonic scale of the Asena in Malawi,"W. Van Zanten. The equidistant heptatonic scale of the asena in malawi. Afr. Music, 6(1):107-125, 1980. doi: 10.21504/amj. V6i1.1099",Tuning forks; measurement error noted as 9 cents,,Yes,Part of the tuning procedure is to 'check the octaves'.,Yes,,,,10,0,31,0.32258064516129,0,
17,Zemp,1981,Melanesian solo polyphonic panpipe music,"Hugo Zemp. Melanesian solo polyphonic panpipe music. Ethnomusicology, 25(3):383-418, 1981. doi: 10.2307/851551",Stroboconn,,Yes,"Evidence that parallel octaves are played, and they have a name for the octave: 'the octaves were blown in parallel by two instruments of different sizes+IBkAOw- 'Sunai and To'ihi'ona from Hautahe were the only musicians who used this term for the relationship of an octave, the common designation being suri 'au or aano suri'",No,Yes,Yes,,4,0,8,0.5,0,
18,Aning,1982,Tuning the kora: A case study of the norms of a Gambian musician,"B. A. Aning. Tuning the kora: A case study of the norms of a gambian musician. J. Afr. Stud., 9(3):164, 1982",Tuning forks; same range of tuning forks as +AFs-16+AF0-,,No,"The author writes about octaves in the tuning of the kora, and notes that many strings are an octave apart. However, deviations from the octave leave the author unsure about whether there is a systematically regular tuning pattern for the kora. However there are a remarkable number of strings tuned to within 20 cents of an octave. The author repeatedly neglects to take into account imprecision in both tuning fork measurements, and the human ear, as acceptable reasons for deviations from theoretical ideals. Incidentally, it is noted that the tuner pays particular attention to the intonation of two sets of strings, each a fifth apart.",No,,,,2,0,2,1,0,
19,"Ho, Han",1982,On Chinese scales and national modes,"Ho Lu-Ting and Han Kuo-huang. On chinese scales and national modes. Asian Music, 14(1):132-154, 1982. doi: 10.2307/ 834047",,"Despite being written on Western staff notation, I have assumed that these scales follow the Shi-er-lu tuning system.",No,"The author remarks little on the use of the octave, and seems to have a similar understanding to that of Western music theory. 'The Chinese use wusheng, and qisheng liusheng, to denote and 7-tone 6-tone, 5-tone, yinjie scales These terms refer to the number of pitches respectively. within an octave.'",,,,Yes,0,0,0,,,
20,Kubik,1984,A structural examination of homophonic multi-part sining in east and central Africa,"G. Kubik. A structural examination of homophonic multi-part singing in east and central africa. Anuario Musical, 39:27, 1984",Stroboconn,,Yes,'the man's and the woman's vocal lines sometimes sound in octaves...',,,Yes,,0,0,0,,,
21,Kubik,1985,African tone-systems: a reassessment,"Gerhard Kubik. African tone-systems: A reassessment. Yearb. Tradit. Music, 17:31-63, 1985. doi: 10.2307/768436",Tuning forks; same range of tuning forks as +AFs-16+AF0-,,Yes,'The intervals struck simultaneously in the xylophone music of southern Cameroon are mainly thirds and octaves',Yes,Yes,Yes,,0,0,0,,,Describes notes in a scale using numbers; then upper and lower octaves are called 'husbands' and 'wives'
22,Gottllieb,1986,Music of the blue nile province,"Robert Gottlieb. Sudan ii: Music of the blue nile province; the ingessana and berta tribes, 1986",Not mentioned. Intervals are specified to the nearest 1 cent.,"Despite noting in the text that the octave, the final interval leading to the octave is not reported. In this case I assume that the octave is perfect, and insert the missing interval.",Yes,'This may be an intentional stretching of the octave since the same tuning is consistently used in performances',No,,,,1,0,4,0.25,0,
23,"Yu-an, Carterette, Yu-Kui",1987,A comparison of the musical scales of the ancient Chinese bronze bell ensemble and the modern bamboo flute,"R. Yu-An, E. C. Carterette, and W. Yu-Kui. A comparison of the musical scales of the ancient chinese bronze bell ensemble and the modern bamboo flute. Percept. Psychophys., 41(6):547-562, 1987. doi: 10.3758/BF03210489",Briiel and Kjaer Type 2300 High-Resolution Signal Analyzer; a group of listeners matched computer generated sine tones to the fundamental frequencies of the instruments.,,No,No mention is made of how the instruments were played and whether octaves are prominent. The authors note that both flute and bells have a 'true octave'.,,,,,1,0,4,0.25,0,
24,"Keefe, Burns, Nguyen",1991,Vietnamese modal scales of the dan tranh,"D. H. Keefe, E. M. Burns, and P. Nguyen. Vietnamese modal scales of the dan tranh. Music Percept., 8(4):449-468, 1991. doi: 10.2307/40285522",Peterson tuner; 1 cent accuracy,"Despite noting in the text that the octave, the final interval leading to the octave is not reported. In this case I assume that the octave is perfect, and insert the missing interval.",Yes,"'Traditional Vietnamese music, like many other music culture octave equivalence and uses a scale system with discrete pitch classes.'",,Yes,,Yes,0,0,5,0,0,
25,Tracey,1991,Kambazithe Makolekole and his valimba group,"A. Tracey. Kambazithe makolekole and his valimba group: A glimpse of the technique of the sena xylophone. Afr. Music, 7 (1):82-104, 1991. doi: 10.21504/amj.v7i1.1932",Tuning forks; same range of tuning forks as +AFs-16+AF0-,,Yes,It is noted of the player/tuner that 'he checks octaves' while tuning.,Yes,,,,1,0,1,1,0,
26,"Carterette, Kendall, de Vale",1993,Comparative acoustical and psychoacoustical analyses of gamelan instrument tones,"Edward C. Carterette, Roger A. Kendall, and Sue Carole De Vale. Comparative acoustical and psychoacoustical analyses of gamelan instrument tones. Journal of the Acoustical Society of Japan (E), 14(6):383-396, 1993. doi: 10.1250/ast.14.383",Hewlett-Packard 5512A,,No,"Stretched octaves have been well-documented in Gamelan music, and the octave is repeatedly referred to here.",,,,Yes,0,0,2,0,0,
27,Schneider,2001,"Sound, pitch, and scale: From 'tone measurements' to sonological analysis in ethnomusicology","Albrecht Schneider. Sound, pitch, and scale: From 'tone measurements' to sonological analysis in ethnomusicology. Ethno- musicology, 45(3):489-519, 2001. doi: 10.2307/852868",Computational,,No,Stretched octaves have been well-documented in Gamelan music.,,,,Yes,1,0,2,0.5,0,
28,"Attakitmongcol, Chinvejkitvanich, Sujitjorn",2004,Characterization of traditional thai musical scale,"K. Attakitmongcol, R. Chinvejkitvanich, and S. Sujitjorn. Characterization of traditional thai musical scale. In Proceedings of the 5th WSEAS International Conference on Acoustics and Music: Theory and Applications (AMTA04), 2004",Computational,,No,Refers to Thai octave; notes that the octave is used in theory.,,Yes,,Yes,0,0,2,0,0,
29,"Zhang, Xiao, Lee",2004,The early development of music: analysis of the jiahu bone flutes,"J. Zhang, X. Xiao, and Y. K. Lee. The early development of music. analysis of the jiahu bone flutes. Antiquity, 78(302): 769778, 2004. doi: 10.1017/S0003598X00113432",Stroboconn,"Despite recording cents to an accuracy of 1 cent, many intervals fall on exact 12-TET intervals. Given the leeway in tuning for flutes this looks like a potential case of bias on part of the researchers. Nonetheless, I reserve judgment and include the scales.",No,Not possible to establish for these prehistoric flutes.,,,,,0,0,5,0,0,
30,Sethares,2005,"Tuning, Timbre, Spectrum, Scale","W. A. Sethares. Tuning, Timbre, Spectrum, Scale. Springer Science and Business Media, 2005",Computational,,No,Stretched octaves have been well-documented in Gamelan music.,,,,Yes,4,0,4,1,0,
31,"McNeil, Mitran",2008,Vibrational frequencies and tuning of the african mbira,"L. E. McNeil and S. Mitran. Vibrational frequencies and tuning of the african mbira. J. Acoust. Soc. Am., 123(2):1169-1178, 2008. doi: 10.1121/1.2828063",Computational,,No,,,,,,1,0,1,1,0,
32,Strand,2009,The Sambla Xylophone: Tradition and Identity in Burkina Faso,"J. L. Strand. The Sambla Xylophone: Tradition and Identity in Burkina Faso. PhD thesis, 2009",Korg AT-12 Auto Chromatic tuner,"Multiple octaves were recorded as separate scales for each xylophone for two reasons. First, the notes are numbered, so the notes can be arranged in the correct order. Second, there is substantial variation between octaves to consider them as distinct versions of the same scale.",Yes,Pitches tend to have the same name across multiple octaves (with the exception of the 'baana' pitch); this seems like evidence of equivalence on the part of the performers.,,Yes,,,3,0,4,0.75,0,
33,Kuss,2010,Music in Latin America and the Caribbean: An Encyclopedic History,"M. Kuss. Music in Latin America and the Caribbean: An Encyclopedic History: Volume 1: Performing Beliefs: Indigenous Peoples of South America, Central America, and Mexico. University of Texas Press, 2010",Not mentioned in one case; scales always reported to an accuracy of 5 cents; mention of stroboconn in another example.,"Some of the scales have references, indicating that they were originally measured and reported in another source.",Yes,"Refers to sets of aerophones playing in parallel octaves, and being tuned an octave apart.",Yes,,Yes,,2,0,5,0.4,0,
34,Garzoli,2015,The myth of equidistance in thai tuning,"J. Garzoli. The myth of equidistance in thai tuning. Anal Approaches Music, 4(2):1-29, 2015 (personal communication)",Computational,,No,"'However, many tuners do not intend to tune the octave to a ratio of 1:2, but aim for a marginally larger interval.' Marginally here meaning about 10 cents.",,,,Yes,5,0,7,0.714285714285714,0,
35,Wisuttipat,2015,Relative nature of thai traditional music through its tuning system,"N. Wisuttipat. Relative nature of thai traditional music through its tuning system. International Journal of Creative and Arts Studies, 2(1):86-97, 2015. doi: 10.24821/ijcas.v2i1.1441",Electronic tuner,,Yes,Discusses the octave as an integral part of the scale.,,,,Yes,3,0,4,0.75,0,
36,"Morkonr, Punkubutra",2018,The collecting process of xylophone's sound d (ranad xek) from art to numerical data,"A. Morkonr, S. Punkubutra, et al. The collecting process of xylophone's sound d (ranad xek) from art to numerical data. In 2018 International Conference on Engineering, Applied Sciences, and Technology (ICEAST), pages 1-4, 2018. doi: 10.1109/ ICEAST.2018.8434434",Computational,,No,See above for references on Thai music.,,,,Yes,1,0,1,1,0,
37,Bader,2019,Temperament in tuning systems of southeast asia and ancient india,"R. Bader. Temperament in tuning systems of southeast asia and ancient india. In Computational Phonogram Archiving, pages 75-107. Springer, 2019. doi: 10.1007/978-3-030-02695-0 3",Not mentioned clearly,,No,The author measured the tuning of Cambodian instruments bought in Russia; no mention is made of the original performers.,,,,Yes,1,0,3,0.333333333333333,0,
38,Kimberlin,1976,Masinqo and the Nature of Qanat,"C. M. L. Kimberlin. Masinqo and the Nature of Qanat. PhD thesis, 1976",,Inferred from recordings,Yes,'Qanat is an interval set which consists of five basic pitches plus the octave and provides the tonal basis for any musical composition.',,,,Yes,0,0,4,0,0,
39,Nam,1998,Pitch distributions in korean court music: Evidence consistent with tonal hierarchies,"Unjung Nam. Pitch distributions in korean court music: Evidence consistent with tonal hierarchies. Music Percept., 16(2): 243-247, 1998. doi: 10.2307/40285789",,Inferred from recordings,No,Author barely discusses the octave.,,,,Yes,0,0,3,0,0,
40,"Weisser, Falceto",2013,Investigating qanat in amhara secular music: An acoustic and historical study,"S. Weisser and F. Falceto. Investigating qanat in amhara secular music: An acoustic and historical study. Annales d'thiopie, 28(1):299-322, 2013. doi: 10.3406/ethio.2013.1539",,"Despite noting in the text that the octave, the final interval leading to the octave is not reported. In this case I assume that the octave is perfect, and insert the missing interval. Inferred from recordings ",Yes,See reference +AFs-38+AF0- for discussion of qanat,,,,Yes,0,0,28,0,0,
41,Ambrazevicius,2005,The perception and transcription of the scale reconsidered: Several lithuanian cases,"Rytis Ambrazevicius. The perception and transcription of the scale reconsidered: Several lithuanian cases. The World of Music, 47(2):31-53, 2005","Computational; 10 cents accuracy reported; method for dealing with pitch drift; the overall method seems time-consuming and somewhat robust, if not necessarily as accurate as within 10 cents.",Inferred from recordings,No,Never mentioned,,,,,0,0,2,0,0,
42,Ambrazevicius,2006,Modelling of scales in traditional solo singing,"Rytis Ambrazevi+AQ0-ius. Modelling of scales in traditional solo singing. Music. Sci., 10(1_suppl):65-87, 2006. doi: 10.1177/1029864906010001041","Computational; notes identified one at a time on a recording, measured, then grouped into a scale.",Inferred from recordings,No,Never mentioned,,,,,0,0,7,0,0,"The author notes that the notes produced on the instrument can, depending on how it is played, vary by about 30 cents."
43,Cooke,1971,Ludaya - a transverse flute from eastern uganda,"P. R. Cooke. Ludaya - a transverse flute from eastern uganda. Yearb. Int. Folk Music Council, 3:79-90, 1971. doi: 10.2307/767457",Stroboconn,,No,"The only possible notes on this flute are two series of harmonics (flute has no finger holes). However, the first harmonic is unattainable so the natural octave between the first two harmonics is not possible. Furthermore, the 'player selects from both series of harmonics' in such a way that the second harmonics are not used. As a result, the next natural octave is not found (between 2nd and 4th harmonics)",,,,,0,0,1,0,0,
44,Garfias,1975,Preliminary thoughts on burmese modes,"Robert Garfias. Preliminary thoughts on burmese modes. Asian Music, 7(1):39-49, 1975",Not mentioned clearly,"The author states that, despite having 7 tones, musicians will often play in 'modes' in which only 5 notes are mainly played; but even then the 'secondary tones' are still played, 'giving them the character of passing tones, suspensions and appogiaturas.' Given this, I think it is most appropriate to include the original 7-note tuning system as scales, as well as the 5-note modes. Only 4 unique modes are identified, and all possible combinations of modes / tunings are considered.",Yes,"The author notes 'a rather complex orally transmitted theory of the music exists', and that the octave and fifths are given special status when tuning.",Yes,Yes,,,1,0,3,0.333333333333333,0,
45,Jones,1966,A kwaiker indian xylophone,"A. M. Jones. A kwaiker indian xylophone. Ethnomusicology, 10(1):43-47, 1966",Stroboconn,"The instrument tuning is inferred from recordings of instrumental songs, rather than recordings of separate notes. The authors notes: In any one tune only certain notes will be used: so, in order to register as many of the xylophone notes as possible, we took samples from a wide selection of pieces.' Thus, in many cases, the 'scales' used are smaller than 7 notes, but there is no way of recovering this information.",No,No mention is made of how the instruments were played and whether octaves are prominent.,,,,,0,0,1,0,0,
46,Jones,1960, Indonesia and africa: The xylophone as a culture-indicator,"A. M. Jones. Indonesia and africa: The xylophone as a culture-indicator. African Music : Journal of the International Library of African Music, 2(3):36-47, 1960. doi: https://doi.org/10.21504/amj.v2i3.608","Not clear since this is a secondary source; the author normally uses a stroboconn, but the cited papers likely use a monochord or tuning forks","These can be used as scales, but it must be recognized that these are not full instrument tunings. Rather, they are carefully selected portions that correspond to almost-equidistant scales. Any interpretation must therefore take this into account.",No,Secondary source; doesn't discuss specific aspects of individual musical traditions,,,,,0,0,10,0,0,
47,Kubik,1962,The endara xylophone of bukonjo,"G. Kubik. The endara xylophone of bukonjo. African Music : Journal of the International Library of African Music, 3(1):43-48, 1962. doi: https://doi.org/10.21504/ amj.v3i1.736",Tuning forks,,No,Only speculation by the author.,,,,,0,0,2,0,0,"This instrument is supposed to have 14 keys, and be played by 7-14 players. It seems unlikely (only a few speciifc examples are given) that this is used to construct long and complex melodies, but much more likely that rhythmic complexity is emphasised."
48,Kubik,1963,Discovery of a trough xylophone in northern mozambique,"G. Kubik. Discovery of a trough xylophone in northern mozambique. African Music : Journal of the International Library of African Music, 3(2):11-14, 1963. doi: https://doi.org/10.21504/amj.v3i2.826",Tuning forks,,Yes,"Two players play at the same time, and they often play in parallel octaves.",,,Yes,,0,0,1,0,0,
49,Kubik,1992,Embaire xylophone music of samusiri babalanda ,"Gerhard Kubik. Embaire xylophone music of samusiri babalanda (uganda 1968). The World of Music, 34(1): 57-84, 1992",Korg WT-12 Chromatic tuner; within 5 cents,,Yes,References are made to both playing in parallel octaves and also paying attention to octaves during tuning.,Yes,,Yes,,0,0,1,0,0,
50,Thrasher,1978,The transverse flute in traditional chinese music,"Alan Thrasher. The transverse flute in traditional chinese music. Asian Music, 10(1):92-114, 1978",Not mentioned,,Yes,"Author discusses playing of the second harmonics, corresponding to an octave above the fundamental.",,Yes,,Yes,0,0,5,0,0,
51,Blasco,1990,Afinacion de las marimbas en la costa paciica colombiana: Un ejemplo de la memoria interv+AOE-lica africana en colombia,C. Mi+APE-ana Blasco. Afinacion de las marimbas en la costa pacifiica colombiana: Un ejemplo de la memoria intervalica africana en colombia. 1990,Not mentioned,,No,"The author speculates, but no mention is made of how the instruments were played.",,,,,0,1,9,0,0.111111111111111,See Guillermo Abadia Morales
52,"Sundberg, Tjernlund",1969,Computer measurements of the tone scale in performed music by means of frequency histograms,"J. Sundberg and P. Tjernlund. Computer measurements of the tone scale in performed music by means of frequency histograms. STL-QPS, 10(2-3):33-35, 1969",Computational,,No,No mention is made of how the instruments were played.,,,,,0,0,2,0,0,
53,Copeland,2018,Pitch and tuning in beninese brass bands,"Lyndsey Copeland. Pitch and tuning in beninese brass bands. Ethnomusicology Forum, 27(2):213-240, 2018. doi: 10.1080/17411912.2018.1518151",Computational,"This source only provided absolute frequencies for notes in some recorded songs, along with transcriptions. I myself converted these into exact scales; methodology and code will be published in github repo along with paper.",Yes,"While the author does not directly address the use of the octave, it is clear that the players are heavily influenced by western music. See Fig 3 for a player's use of solfege notation; the transcriptions were made by one of the players, on Western staff notation, which has octave notes clearly shown; one player mentions using an electronic tuner on a mobile phone.",,,,,0,0,2,0,0,
54,Miller,1985,Traditional Music of the Lao: Kaen Playing and Mawlum Singing in Northeast Thailand,"T. E. Miller. Traditional Music of the Lao: Kaen Playing and Mawlum Singing in Northeast Thailand. Number 13. Praeger, 1985",Stroboconn,,Yes,"Octave pairs are named with a mother-child relationship. Absolute pitch can be fixed according to: the singer that the kaen will accompany; a soloist's taste; if for a kaen troupe then the pitches are standardized. Octave tuning is 'corrected +//0A4v/9AID//QCm- until +//0A4v/9AID//QCm- pure', and tunes reeds together if they are related by an octave. 'Pitches may be  played singly or in octaves'",Yes,Yes,Yes,,2,0,3,0.666666666666667,0,'It is usual among conscientious makers that in a finished kaen the nodes should form a straight line just below the windchest.'
55,"Scherbaum, Mzhavanadze, Arom, Rosenweig, Muller",2020,"Tonal Organization of the Erkomaishvili Dataset: Pitches, Scales, Melodies and Harmonies.","Frank Scherbaum, Nana Mzhavanadze, Simha Arom, Sebastian Rosenzweig, and Meinard Muller. Tonal Organization of the Erkomaishvili Dataset: Pitches, Scales, Melodies and Harmonies.",Computational,,No,"Although debated, quotes other sources as saying that fifths are the most important part of scales, not octaves; octaves are typically stretched by 40-50 cents.",No,,No,,2,0,9,0.222222222222222,0,
56,"Mzhavanadze, Scherbaum",2020,Svan funeral dirges (zar): Musicological analysis,"N. Mzhavanadze and F. Scherbaum. Svan funeral dirges (zar): Musicological analysis. Musicologist, 4(2):168-197, 2020. doi: 10.33906/musicologist. 782185",Computational,,No,Singing is mostly constrained to within an octave,No,,No,,0,0,22,0,0,
57,"Mokhtar, Mosharrafa",1937,Modes in modern egyptian music,"M. Mokhtar and A. M. Mosharrafa. Modes in modern egyptian music. Nature, 140(3543):548-549, 1937. doi: 10.1038/140548b0",'audio-frequency valve oscillator to which a calibration curve was plotted by means of a set of standard tuning forks',,No,Very little detail given - article is less than a page long.,,,,Yes,0,0,1,0,0,
58,Tan,2011,Ney Ackisinin Tarihi Ve Teknik Gelisimi,"A. Tan. Ney Ackisinin Tarihi Ve Teknik Gelisimi. Yayınlanmamıs Doktora Tezi. Marmara Universitesi, Sosyal Bilimler Enstitusu, Istanbul, 2011",N/A,N/A,No,,,,,Yes,0,0,9,0,0,
59,Mendes,2012,Fe no pife: as flautas de pifano no contexto cultural da banda cabacal dos Irmaos Aniceto,M. Mendes. Fe no pife: as flautas de pifano no contexto cultural da banda cabacal dos Irmaos Aniceto,Computational; audacity,"Not completely sure about whether this comes from recordings of instruments (which I normally list as 'Measured: Instrument'), or from a recording of melodies, but it seems to be the former.",No,Not discussed in enough detail.,,,,,1,0,3,0.333333333333333,0,
60,"Pantelli, Purwins",2013,"A quantitative comparison of chrysanthine theory and performance practice of scale tuning, steps, and prominence of the octoechos in byzantine chant","Maria Panteli and Hendrik Purwins. A quantitative comparison of chrysanthine theory and performance practice of scale tuning, steps, and prominence of the octoechos in byzantine chant. J. New Music Res., 42(3):205-221, 2013. doi: 10.1080/09298215. 2013.827215",Computational,,Yes,Octave equivalence is part of Chrystanthine theory,,Yes,,,0,0,8,0,0,
